time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
19:40:40:7660,-0.1095,-0.1493,0.1064,0.214
19:40:40:7710,-0.1095,-0.1493,0.1064,0.214
19:40:40:7890,-0.1095,-0.1493,0.1064,0.214
19:40:40:7900,0.0410,0.1338,-0.4459,0.467
19:40:40:7910,0.0410,0.1338,-0.4459,0.467
19:40:40:7920,0.0410,0.1338,-0.4459,0.467
19:40:40:7950,0.0410,0.1338,-0.4459,0.467
19:40:40:8000,0.0146,0.1151,-0.1249,0.170
19:40:40:8050,0.0146,0.1151,-0.1249,0.170
19:40:40:8100,0.0146,0.1151,-0.1249,0.170
19:40:40:8149,0.0146,0.1151,-0.1249,0.170
19:40:40:8200,0.0972,0.1761,-0.6334,0.665
19:40:40:8250,0.0972,0.1761,-0.6334,0.665
19:40:40:8310,0.0972,0.1761,-0.6334,0.665
19:40:40:8350,0.0972,0.1761,-0.6334,0.665
19:40:40:8410,-0.0111,-0.0244,-0.1049,0.108
19:40:40:8450,-0.0111,-0.0244,-0.1049,0.108
19:40:40:8500,-0.0111,-0.0244,-0.1049,0.108
19:40:40:8550,-0.0111,-0.0244,-0.1049,0.108
19:40:40:8600,-0.0105,0.0577,-0.1869,0.196
19:40:40:8650,-0.0105,0.0577,-0.1869,0.196
19:40:40:8700,-0.0105,0.0577,-0.1869,0.196
19:40:40:8750,-0.0105,0.0577,-0.1869,0.196
19:40:40:8800,0.0578,0.0262,-0.2384,0.247
19:40:40:8840,0.0578,0.0262,-0.2384,0.247
19:40:40:8910,0.0578,0.0262,-0.2384,0.247
19:40:40:8940,0.0578,0.0262,-0.2384,0.247
19:40:40:8990,0.0578,0.0262,-0.2384,0.247
19:40:40:9040,-0.0647,0.0194,-0.0975,0.119
19:40:40:9090,-0.0647,0.0194,-0.0975,0.119
19:40:40:9140,-0.0647,0.0194,-0.0975,0.119
19:40:40:9190,-0.0647,0.0194,-0.0975,0.119
19:40:40:9370,0.0035,-0.1377,0.1799,0.227
19:40:40:9380,0.0035,-0.1377,0.1799,0.227
19:40:40:9380,0.0035,-0.1377,0.1799,0.227
19:40:40:9450,0.0035,-0.1377,0.1799,0.227
19:40:40:9450,0.0171,-0.0354,-0.0470,0.061
19:40:40:9490,0.0171,-0.0354,-0.0470,0.061
19:40:40:9540,0.0171,-0.0354,-0.0470,0.061
19:40:40:9580,0.0171,-0.0354,-0.0470,0.061
19:40:40:9630,0.0035,-0.0279,-0.0701,0.075
19:40:40:9680,0.0035,-0.0279,-0.0701,0.075
19:40:40:9740,0.0035,-0.0279,-0.0701,0.075
19:40:40:9790,0.0035,-0.0279,-0.0701,0.075
19:40:40:9830,0.0442,0.0885,-0.2837,0.300
19:40:40:9880,0.0442,0.0885,-0.2837,0.300
19:40:40:9930,0.0442,0.0885,-0.2837,0.300
19:40:40:9980,0.0442,0.0885,-0.2837,0.300
19:40:41:0030,0.0028,-0.0814,-0.0477,0.094
19:40:41:0080,0.0028,-0.0814,-0.0477,0.094
19:40:41:0130,0.0028,-0.0814,-0.0477,0.094
19:40:41:0180,0.0028,-0.0814,-0.0477,0.094
19:40:41:0240,-0.0251,-0.0325,0.0106,0.042
19:40:41:0280,-0.0251,-0.0325,0.0106,0.042
19:40:41:0330,-0.0251,-0.0325,0.0106,0.042
19:40:41:0370,-0.0251,-0.0325,0.0106,0.042
19:40:41:0420,0.0149,-0.1324,0.1772,0.222
19:40:41:0480,0.0149,-0.1324,0.1772,0.222
19:40:41:0530,0.0149,-0.1324,0.1772,0.222
19:40:41:0720,0.0149,-0.1324,0.1772,0.222
19:40:41:0730,0.0278,0.2045,-0.4740,0.517
19:40:41:0740,0.0278,0.2045,-0.4740,0.517
19:40:41:0740,0.0278,0.2045,-0.4740,0.517
19:40:41:0770,0.0278,0.2045,-0.4740,0.517
19:40:41:0820,-0.0137,-0.0027,-0.1724,0.173
19:40:41:0869,-0.0137,-0.0027,-0.1724,0.173
19:40:41:0920,-0.0137,-0.0027,-0.1724,0.173
19:40:41:0970,-0.0137,-0.0027,-0.1724,0.173
19:40:41:1019,0.0129,0.0086,-0.1844,0.185
19:40:41:1070,0.0129,0.0086,-0.1844,0.185
19:40:41:1120,0.0129,0.0086,-0.1844,0.185
19:40:41:1170,0.0129,0.0086,-0.1844,0.185
